index:ID,name,number,update,country,continent,:LABEL
600,累计确诊,5900,2020-06-23,塔吉克斯坦,亚洲,confirmed
601,累计确诊,48246,2020-06-23,阿拉伯联合酋长国,亚洲,confirmed
602,累计确诊,1128,2020-06-23,也门,亚洲,confirmed
603,累计确诊,19,2020-06-23,老挝,亚洲,confirmed
604,累计确诊,299,2020-06-23,缅甸,亚洲,confirmed
605,累计确诊,269,2020-06-23,叙利亚,亚洲,confirmed
606,累计确诊,24,2020-06-23,东帝汶,亚洲,confirmed
607,累计确诊,5017,2020-06-23,吉尔吉斯斯坦,亚洲,confirmed
608,累计确诊,8222,2020-06-23,乌兹别克斯坦,亚洲,confirmed
609,累计确诊,21327,2020-06-23,哈萨克斯坦,亚洲,confirmed
610,累计确诊,198613,2020-06-23,土耳其,亚洲,confirmed
611,累计确诊,220,2020-06-23,蒙古国,亚洲,confirmed
612,累计确诊,996,2020-06-23,塞浦路斯,亚洲,confirmed
613,累计确诊,141,2020-06-23,文莱,亚洲,confirmed
614,累计确诊,141801,2020-06-23,孟加拉国,亚洲,confirmed
615,累计确诊,2337,2020-06-23,马尔代夫,亚洲,confirmed
616,累计确诊,76,2020-06-23,不丹,亚洲,confirmed
617,累计确诊,2185,2020-06-23,巴勒斯坦,亚洲,confirmed
618,累计确诊,186436,2020-06-23,沙特阿拉伯,亚洲,confirmed
619,累计确诊,1128,2020-06-23,约旦,亚洲,confirmed
620,累计确诊,55092,2020-06-23,印度尼西亚,亚洲,confirmed
621,累计确诊,25127,2020-06-23,亚美尼亚,亚洲,confirmed
622,累计确诊,95106,2020-06-23,卡塔尔,亚洲,confirmed
623,累计确诊,16968,2020-06-23,阿塞拜疆,亚洲,confirmed
624,累计确诊,926,2020-06-23,格鲁吉亚,亚洲,confirmed
625,累计确诊,206512,2020-06-23,巴基斯坦,亚洲,confirmed
626,累计确诊,39060,2020-06-23,阿曼,亚洲,confirmed
627,累计确诊,31238,2020-06-23,阿富汗,亚洲,confirmed
628,累计确诊,26239,2020-06-23,巴林,亚洲,confirmed
629,累计确诊,45524,2020-06-23,科威特,亚洲,confirmed
630,累计确诊,47151,2020-06-23,伊拉克,亚洲,confirmed
631,累计确诊,1745,2020-06-23,黎巴嫩,亚洲,confirmed
632,累计确诊,24441,2020-06-23,以色列,亚洲,confirmed
633,累计确诊,225205,2020-06-23,伊朗,亚洲,confirmed
634,累计确诊,567536,2020-06-23,印度,亚洲,confirmed
635,累计确诊,36438,2020-06-23,菲律宾,亚洲,confirmed
636,累计确诊,2039,2020-06-23,斯里兰卡,亚洲,confirmed
637,累计确诊,141,2020-06-23,柬埔寨,亚洲,confirmed
638,累计确诊,13248,2020-06-23,尼泊尔,亚洲,confirmed
639,累计确诊,355,2020-06-23,越南,亚洲,confirmed
640,累计确诊,12800,2020-06-23,韩国,亚洲,confirmed
641,累计确诊,8637,2020-06-23,马来西亚,亚洲,confirmed
642,累计确诊,18631,2020-06-23,日本,亚洲,confirmed
643,累计确诊,43661,2020-06-23,新加坡,亚洲,confirmed
644,累计确诊,3169,2020-06-23,泰国,亚洲,confirmed
645,累计确诊,571,2020-06-23,海峡群岛,欧洲,confirmed
646,累计确诊,336,2020-06-23,马恩岛,欧洲,confirmed
647,累计确诊,501,2020-06-23,黑山,欧洲,confirmed
648,累计确诊,187,2020-06-23,法罗群岛,欧洲,confirmed
649,累计确诊,2466,2020-06-23,阿尔巴尼亚,欧洲,confirmed
650,累计确诊,4831,2020-06-23,保加利亚,欧洲,confirmed
651,累计确诊,16357,2020-06-23,摩尔多瓦,欧洲,confirmed
652,累计确诊,670,2020-06-23,马耳他,欧洲,confirmed
653,累计确诊,1665,2020-06-23,斯洛伐克,欧洲,confirmed
654,累计确诊,12,2020-06-23,梵蒂冈,欧洲,confirmed
655,累计确诊,14288,2020-06-23,塞尔维亚,欧洲,confirmed
656,累计确诊,177,2020-06-23,直布罗陀,欧洲,confirmed
657,累计确诊,82,2020-06-23,列支敦士登,欧洲,confirmed
658,累计确诊,4325,2020-06-23,波黑,欧洲,confirmed
659,累计确诊,4145,2020-06-23,匈牙利,欧洲,confirmed
660,累计确诊,1585,2020-06-23,斯洛文尼亚,欧洲,confirmed
661,累计确诊,34154,2020-06-23,波兰,欧洲,confirmed
662,累计确诊,43628,2020-06-23,乌克兰,欧洲,confirmed
663,累计确诊,1117,2020-06-23,拉脱维亚,欧洲,confirmed
664,累计确诊,41912,2020-06-23,葡萄牙,欧洲,confirmed
665,累计确诊,855,2020-06-23,安道尔,欧洲,confirmed
666,累计确诊,11805,2020-06-23,捷克,欧洲,confirmed
667,累计确诊,25462,2020-06-23,爱尔兰,欧洲,confirmed
668,累计确诊,4256,2020-06-23,卢森堡,欧洲,confirmed
669,累计确诊,698,2020-06-23,圣马力诺,欧洲,confirmed
670,累计确诊,103,2020-06-23,摩纳哥,欧洲,confirmed
671,累计确诊,1840,2020-06-23,冰岛,欧洲,confirmed
672,累计确诊,61790,2020-06-23,白俄罗斯,欧洲,confirmed
673,累计确诊,1816,2020-06-23,立陶宛,欧洲,confirmed
674,累计确诊,50223,2020-06-23,荷兰,欧洲,confirmed
675,累计确诊,1987,2020-06-23,爱沙尼亚,欧洲,confirmed
676,累计确诊,12751,2020-06-23,丹麦,欧洲,confirmed
677,累计确诊,26582,2020-06-23,罗马尼亚,欧洲,confirmed
678,累计确诊,6209,2020-06-23,北马其顿,欧洲,confirmed
679,累计确诊,8862,2020-06-23,挪威,欧洲,confirmed
680,累计确诊,3390,2020-06-23,希腊,欧洲,confirmed
681,累计确诊,31652,2020-06-23,瑞士,欧洲,confirmed
682,累计确诊,2725,2020-06-23,克罗地亚,欧洲,confirmed
683,累计确诊,17723,2020-06-23,奥地利,欧洲,confirmed
684,累计确诊,61361,2020-06-23,比利时,欧洲,confirmed
685,累计确诊,296050,2020-06-23,西班牙,欧洲,confirmed
686,累计确诊,67667,2020-06-23,瑞典,欧洲,confirmed
687,累计确诊,641156,2020-06-23,俄罗斯,欧洲,confirmed
688,累计确诊,311965,2020-06-23,英国,欧洲,confirmed
689,累计确诊,240436,2020-06-23,意大利,欧洲,confirmed
690,累计确诊,7209,2020-06-23,芬兰,欧洲,confirmed
691,累计确诊,195392,2020-06-23,德国,欧洲,confirmed
692,累计确诊,164260,2020-06-23,法国,欧洲,confirmed
693,累计确诊,27,2020-06-23,莱索托,非洲,confirmed
694,累计确诊,272,2020-06-23,科摩罗,非洲,confirmed
695,累计确诊,713,2020-06-23,圣多美和普林西比,非洲,confirmed
696,累计确诊,1989,2020-06-23,南苏丹,非洲,confirmed
697,累计确诊,1152,2020-06-23,马拉维,非洲,confirmed
698,累计确诊,170,2020-06-23,布隆迪,非洲,confirmed
699,累计确诊,1450,2020-06-23,塞拉利昂,非洲,confirmed
700,累计确诊,175,2020-06-23,博茨瓦纳,非洲,confirmed
701,累计确诊,1654,2020-06-23,几内亚比绍,非洲,confirmed
702,累计确诊,2173,2020-06-23,马里,非洲,confirmed
703,累计确诊,802,2020-06-23,利比亚,非洲,confirmed
704,累计确诊,883,2020-06-23,莫桑比克,非洲,confirmed
705,累计确诊,191,2020-06-23,厄立特里亚,非洲,confirmed
706,累计确诊,870,2020-06-23,乌干达,非洲,confirmed
707,累计确诊,276,2020-06-23,安哥拉,非洲,confirmed
708,累计确诊,2138,2020-06-23,马达加斯加,非洲,confirmed
709,累计确诊,574,2020-06-23,津巴布韦,非洲,confirmed
710,累计确诊,1165,2020-06-23,佛得角,非洲,confirmed
711,累计确诊,1075,2020-06-23,尼日尔,非洲,confirmed
712,累计确诊,866,2020-06-23,乍得,非洲,confirmed
713,累计确诊,341,2020-06-23,毛里求斯,非洲,confirmed
714,累计确诊,1568,2020-06-23,赞比亚,非洲,confirmed
715,累计确诊,4656,2020-06-23,吉布提,非洲,confirmed
716,累计确诊,47,2020-06-23,冈比亚,非洲,confirmed
717,累计确诊,1187,2020-06-23,贝宁,非洲,confirmed
718,累计确诊,2904,2020-06-23,索马里,非洲,confirmed
719,累计确诊,509,2020-06-23,坦桑尼亚,非洲,confirmed
720,累计确诊,770,2020-06-23,利比里亚,非洲,confirmed
721,累计确诊,2560,2020-06-23,马约特,非洲,confirmed
722,累计确诊,1087,2020-06-23,刚果（布）,非洲,confirmed
723,累计确诊,3613,2020-06-23,中非共和国,非洲,confirmed
724,累计确诊,77,2020-06-23,塞舌尔,非洲,confirmed
725,累计确诊,2001,2020-06-23,赤道几内亚,非洲,confirmed
726,累计确诊,196,2020-06-23,纳米比亚,非洲,confirmed
727,累计确诊,1001,2020-06-23,卢旺达,非洲,confirmed
728,累计确诊,795,2020-06-23,斯威士兰,非洲,confirmed
729,累计确诊,4237,2020-06-23,毛里塔尼亚,非洲,confirmed
730,累计确诊,9257,2020-06-23,苏丹,非洲,confirmed
731,累计确诊,5351,2020-06-23,几内亚,非洲,confirmed
732,累计确诊,5846,2020-06-23,埃塞俄比亚,非洲,confirmed
733,累计确诊,6190,2020-06-23,肯尼亚,非洲,confirmed
734,累计确诊,5394,2020-06-23,加蓬,非洲,confirmed
735,累计确诊,17351,2020-06-23,加纳,非洲,confirmed
736,累计确诊,522,2020-06-23,留尼汪岛,非洲,confirmed
737,累计确诊,9214,2020-06-23,科特迪瓦,非洲,confirmed
738,累计确诊,6939,2020-06-23,刚果（金）,非洲,confirmed
739,累计确诊,959,2020-06-23,布基纳法索,非洲,confirmed
740,累计确诊,643,2020-06-23,多哥,非洲,confirmed
741,累计确诊,12592,2020-06-23,喀麦隆,非洲,confirmed
742,累计确诊,144264,2020-06-23,南非,非洲,confirmed
743,累计确诊,1172,2020-06-23,突尼斯,非洲,confirmed
744,累计确诊,6698,2020-06-23,塞内加尔,非洲,confirmed
745,累计确诊,12290,2020-06-23,摩洛哥,非洲,confirmed
746,累计确诊,25133,2020-06-23,尼日利亚,非洲,confirmed
747,累计确诊,66754,2020-06-23,埃及,非洲,confirmed
748,累计确诊,13571,2020-06-23,阿尔及利亚,非洲,confirmed
749,累计确诊,11,2020-06-23,巴布亚新几内亚,大洋洲,confirmed
750,累计确诊,21,2020-06-23,新喀里多尼亚,大洋洲,confirmed
751,累计确诊,18,2020-06-23,斐济,大洋洲,confirmed
752,累计确诊,62,2020-06-23,法属波利尼西亚,大洋洲,confirmed
753,累计确诊,1528,2020-06-23,新西兰,大洋洲,confirmed
754,累计确诊,7767,2020-06-23,澳大利亚,大洋洲,confirmed
755,累计确诊,1,2020-06-23,圣皮埃尔,北美洲,confirmed
756,累计确诊,146,2020-06-23,百慕大,北美洲,confirmed
757,累计确诊,8,2020-06-23,英属维尔京群岛,北美洲,confirmed
758,累计确诊,3,2020-06-23,安圭拉,北美洲,confirmed
759,累计确诊,23,2020-06-23,格林纳达,北美洲,confirmed
760,累计确诊,15,2020-06-23,圣基茨和尼维斯,北美洲,confirmed
761,累计确诊,41,2020-06-23,特克斯和凯科斯群岛,北美洲,confirmed
762,累计确诊,24,2020-06-23,伯利兹,北美洲,confirmed
763,累计确诊,18,2020-06-23,多米尼克,北美洲,confirmed
764,累计确诊,11,2020-06-23,蒙特塞拉特,北美洲,confirmed
765,累计确诊,5847,2020-06-23,海地,北美洲,confirmed
766,累计确诊,6173,2020-06-23,萨尔瓦多,北美洲,confirmed
767,累计确诊,2170,2020-06-23,尼加拉瓜,北美洲,confirmed
768,累计确诊,97,2020-06-23,巴巴多斯,北美洲,confirmed
769,累计确诊,13,2020-06-23,格陵兰岛,北美洲,confirmed
770,累计确诊,104,2020-06-23,巴哈马,北美洲,confirmed
771,累计确诊,182,2020-06-23,瓜德罗普,北美洲,confirmed
772,累计确诊,199,2020-06-23,开曼群岛,北美洲,confirmed
773,累计确诊,103,2020-06-23,阿鲁巴,北美洲,confirmed
774,累计确诊,23,2020-06-23,库拉索,北美洲,confirmed
775,累计确诊,19,2020-06-23,圣卢西亚,北美洲,confirmed
776,累计确诊,29,2020-06-23,圣文森特和格林纳丁斯,北美洲,confirmed
777,累计确诊,69,2020-06-23,安提瓜和巴布达,北美洲,confirmed
778,累计确诊,16930,2020-06-23,危地马拉,北美洲,confirmed
779,累计确诊,126,2020-06-23,特立尼达和多巴哥,北美洲,confirmed
780,累计确诊,2340,2020-06-23,古巴,北美洲,confirmed
781,累计确诊,18082,2020-06-23,洪都拉斯,北美洲,confirmed
782,累计确诊,77,2020-06-23,圣马丁岛,北美洲,confirmed
783,累计确诊,6,2020-06-23,圣巴泰勒米岛,北美洲,confirmed
784,累计确诊,696,2020-06-23,牙买加,北美洲,confirmed
785,累计确诊,32785,2020-06-23,巴拿马,北美洲,confirmed
786,累计确诊,242,2020-06-23,马提尼克,北美洲,confirmed
787,累计确诊,3269,2020-06-23,哥斯达黎加,北美洲,confirmed
788,累计确诊,31816,2020-06-23,多米尼加,北美洲,confirmed
789,累计确诊,216852,2020-06-23,墨西哥,北美洲,confirmed
790,累计确诊,103918,2020-06-23,加拿大,北美洲,confirmed
791,累计确诊,2681775,2020-06-23,美国,北美洲,confirmed
792,累计确诊,13,2020-06-23,福克兰群岛马尔维纳斯,南美洲,confirmed
793,累计确诊,235,2020-06-23,圭亚那合作共和国,南美洲,confirmed
794,累计确诊,501,2020-06-23,苏里南,南美洲,confirmed
795,累计确诊,932,2020-06-23,乌拉圭,南美洲,confirmed
796,累计确诊,5297,2020-06-23,委内瑞拉,南美洲,confirmed
797,累计确诊,31524,2020-06-23,玻利维亚,南美洲,confirmed
798,累计确诊,3774,2020-06-23,法属圭亚那,南美洲,confirmed
799,累计确诊,2191,2020-06-23,巴拉圭,南美洲,confirmed
800,累计确诊,95043,2020-06-23,哥伦比亚,南美洲,confirmed
801,累计确诊,282365,2020-06-23,秘鲁,南美洲,confirmed
802,累计确诊,62268,2020-06-23,阿根廷,南美洲,confirmed
803,累计确诊,275999,2020-06-23,智利,南美洲,confirmed
804,累计确诊,55665,2020-06-23,厄瓜多尔,南美洲,confirmed
805,累计确诊,1370488,2020-06-23,巴西,南美洲,confirmed
806,累计确诊,712,2020-06-23,钻石公主号邮轮,其他,confirmed
